Time of floor stop,Floor number,People IDs in Lift,Floors waiting for pickups,Floor dropOff order
15,2,(1),(),(1)
26,1,(2),(),(9)
97,8,(2 4 5 6 7 8),(2 10),(9 10 10 4 3 2)
108,9,(4 5 6 7 8),(2 3 10),(10 10 4 3 2)
119,10,(5 6 8 3),(2 3 6),(5 4 3 2)
140,8,(5 6 8 3 12),(1 2 3 6),(5 4 3 2 1)
161,6,(5 6 8 3 12 11 15),(1 2 3 5),(5 8 4 3 2 2 1)
172,5,(5 6 8 12 11 15 14),(1 2 3 9),(4 6 3 8 2 2 1)
183,4,(6 8 12 11 15 14),(1 2 3 9),(3 2 2 6 1 8)
194,3,(6 12 11 15 14 10 17),(1 2 9),(2 2 1 6 7 7 8)
205,2,(12 15 14 10 17 9 18),(1 9),(1 1 6 6 7 7 8)
216,1,(15 14 10 17 18 13),(2 9),(6 6 7 7 8 9)
227,2,(15 14 10 17 18 13 19),(3 9),(6 6 7 7 8 9 9)
238,3,(15 14 10 17 18 13 19 20),(9 10),(6 6 7 7 8 9 9 10)
269,6,(15 10 17 13 19 20),(2 7 8 9 10),(7 7 8 9 9 10)
280,7,(15 13 19 20 23),(2 6 8 9 10),(8 9 9 10 2)
291,8,(13 19 20 23 24),(2 6 9 10),(9 7 9 10 2)
302,9,(20 23 24 16 22),(2 4 6 10),(10 7 4 4 2)
313,10,(23 24 16 22 21),(2 4 6 9),(7 5 4 4 2)
324,9,(23 24 16 22 21 29),(2 4 6),(7 7 5 4 4 2)
345,7,(23 16 22 21 32),(2 4 6 10),(5 10 4 4 2)
356,6,(23 16 22 21 32 26 30),(2 4 10),(5 5 4 4 3 10 2)
367,5,(23 16 22 32 30),(2 4 8 10),(4 4 3 2 10)
378,4,(23 32 30 28 33),(2 8 9 10),(3 2 2 8 10)
389,3,(23 32 28 33),(2 5 8 9 10),(2 2 8 10)
400,2,(32 28 25 27 37),(5 8 9 10),(5 7 8 9 10)
431,5,(32 28 25 27 36 38),(3 4 6 8 9 10),(4 7 3 8 9 10)
442,6,(32 28 25 27 36 38 39),(3 4 8 9 10),(7 5 4 8 9 3 10)
453,7,(32 28 25 36 38 39 44),(3 4 8 9 10),(8 5 9 4 10 3 3)
464,8,(32 25 36 38 39 44 34 40),(3 4 9 10),(9 7 10 5 4 3 3 2)
475,9,(32 36 38 39 44 34 40 35),(3 4 5 10),(10 10 7 5 4 3 3 2)
486,10,(36 38 39 44 34 40 31 43),(3 4 5 6),(7 5 4 3 3 3 2 1)
517,7,(36 38 39 44 40 31 43),(2 3 4 5 6 10),(5 4 3 3 3 2 1)
528,6,(36 38 39 44 40 31 43 46),(2 3 4 5 6 10),(5 4 4 3 3 3 2 1)
539,5,(36 38 44 40 31 43 46 45),(2 3 4 6 10),(4 4 7 3 3 3 2 1)
550,4,(36 44 40 31 43 45 42 48),(2 3 6 10),(3 3 3 2 7 1 7 10)
561,3,(40 43 45 42 48 41),(2 6 10),(2 1 7 7 9 10)
572,2,(43 45 42 48 41 50),(6 10),(1 6 7 7 9 10)
583,1,(45 42 48 41 50),(6 10),(6 7 7 9 10)
634,6,(45 42 48 41 47),(10),(7 7 9 9 10)
645,7,(42 41 47),(10),(9 9 10)
666,9,(42),(10),(10)
677,10,(49),(),(7)
708,7,(),(),()
