Person ID,Time of button press,PickUp time,DropOff time,Time in lift,Total request completion time
1,5,15,26,11,21
2,17,26,108,82,91
3,32,119,172,53,140
4,41,97,119,22,78
5,41,97,183,86,142
6,58,97,205,108,147
7,71,97,119,22,48
8,78,97,194,97,116
9,92,205,216,11,124
10,101,194,280,86,179
11,113,161,205,44,92
12,125,140,216,76,91
13,139,216,302,86,163
14,144,172,269,97,125
15,156,161,291,130,135
16,171,302,378,76,207
17,183,194,280,86,97
18,197,205,269,64,72
19,206,227,302,75,96
20,220,238,313,75,93
21,234,313,367,54,133
22,241,302,378,76,137
23,248,280,400,120,152
24,259,291,345,54,86
25,259,400,475,75,216
26,278,356,367,11,89
27,287,400,453,53,166
28,297,378,464,86,167
29,312,324,345,21,33
30,324,356,389,33,65
31,333,486,561,75,228
32,344,345,486,141,142
33,351,378,400,22,49
34,363,464,517,53,154
35,376,475,486,11,110
36,384,431,561,130,177
37,393,400,431,31,38
38,403,431,550,119,147
39,413,442,539,97,126
40,424,464,572,108,148
41,424,561,666,105,242
42,431,550,677,127,246
43,443,486,583,97,140
44,453,453,561,108,108
45,465,539,645,106,180
46,477,528,550,22,73
47,487,634,666,32,179
48,494,550,645,95,151
49,502,677,708,31,206
50,510,572,634,62,124
